External Key,Name,Description Html,State,Priority,Start Date,Target Date,Is Draft,Parent External Key,Issue Type,Labels,Assignee Emails,Custom Properties
WI-007,Wolne łącze Wi‑Fi #7,<p>Zgłoszenie helpdesk: Wolne łącze Wi‑Fi. Lokalizacja: Biuro A. Numer sprawy wewnętrznej HD-0007.</p>,W kolejce,high,,,False,EPIK-ID,Incydent,"[""Sieć"", ""Pilne""]",[],"{""Lokalizacja"": ""Biuro A"", ""Numer inwentarzowy"": ""IT-1007"", ""Wpływ"": ""Zespół""}"
WI-008,Konfiguracja skrzynki shared #8,<p>Zgłoszenie helpdesk: Konfiguracja skrzynki shared. Lokalizacja: Remote. Numer sprawy wewnętrznej HD-0008.</p>,W trakcie,medium,2026-02-01,2026-03-15,False,EPIK-APPS,Zmiana,"[""Dostęp"", ""Software""]",[],"{""Lokalizacja"": ""Remote"", ""Numer inwentarzowy"": ""IT-1008""}"
WI-009,Aktualizacja Windows #9,<p>Zgłoszenie helpdesk: Aktualizacja Windows. Lokalizacja: Biuro A. Numer sprawy wewnętrznej HD-0009.</p>,Oczekuje na usera,low,,,False,EPIK-ONBOARD,Zmiana,"[""Software""]","[""helpdesk.lead@example.com""]","{""Lokalizacja"": ""Biuro A"", ""Numer inwentarzowy"": ""IT-1009"", ""Czas rozwiązania (h)"": 2}"
WI-010,Awaria switcha piętro 2 #10,<p>Zgłoszenie helpdesk: Awaria switcha piętro 2. Lokalizacja: Biuro B. Numer sprawy wewnętrznej HD-0010.</p>,Rozwiązane,urgent,2026-02-01,,False,EPIK-NET,Incydent,"[""Sieć"", ""Pilne""]",[],"{""Lokalizacja"": ""Biuro B"", ""Numer inwentarzowy"": ""IT-1010"", ""Wpływ"": ""Zespół""}"
WI-011,Laptop nie startuje #11,<p>Zgłoszenie helpdesk: Laptop nie startuje. Lokalizacja: Biuro A. Numer sprawy wewnętrznej HD-0011.</p>,Nowe,high,,,False,EPIK-ID,Incydent,"[""Hardware"", ""Pilne""]",[],"{""Lokalizacja"": ""Biuro A"", ""Numer inwentarzowy"": ""IT-1011"", ""Wpływ"": ""Cała firma""}"
WI-012,Brak dostępu do VPN #12,<p>Zgłoszenie helpdesk: Brak dostępu do VPN. Lokalizacja: Remote. Numer sprawy wewnętrznej HD-0012.</p>,W kolejce,urgent,2026-02-01,2026-03-15,False,EPIK-APPS,Incydent,"[""Dostęp"", ""Sieć""]","[""onboarding@example.com""]","{""Lokalizacja"": ""Remote"", ""Numer inwentarzowy"": ""IT-1012"", ""Czas rozwiązania (h)"": 5, ""Wpływ"": ""Jeden użytkownik""}"
WI-013,Drukarka nie drukuje #13,<p>Zgłoszenie helpdesk: Drukarka nie drukuje. Lokalizacja: Biuro B. Numer sprawy wewnętrznej HD-0013.</p>,W trakcie,medium,,,False,EPIK-ONBOARD,Incydent,"[""Drukarka"", ""Hardware""]",[],"{""Lokalizacja"": ""Biuro B"", ""Numer inwentarzowy"": ""IT-1013"", ""Wpływ"": ""Zespół""}"
WI-014,Reset hasła AD #14,<p>Zgłoszenie helpdesk: Reset hasła AD. Lokalizacja: Biuro A. Numer sprawy wewnętrznej HD-0014.</p>,Oczekuje na usera,low,2026-02-01,,False,EPIK-NET,Task,"[""Dostęp"", ""Software""]",[],"{""Lokalizacja"": ""Biuro A"", ""Numer inwentarzowy"": ""IT-1014""}"
WI-015,Instalacja pakietu Office #15,<p>Zgłoszenie helpdesk: Instalacja pakietu Office. Lokalizacja: Biuro A. Numer sprawy wewnętrznej HD-0015.</p>,Rozwiązane,medium,,,False,EPIK-ID,Zmiana,"[""Software""]","[""nieistniejacy.user@example.com"", ""onboarding@example.com""]","{""Lokalizacja"": ""Biuro A"", ""Numer inwentarzowy"": ""IT-1015"", ""Czas rozwiązania (h)"": 8}"
WI-016,Nowy monitor na stanowisku #16,<p>Zgłoszenie helpdesk: Nowy monitor na stanowisku. Lokalizacja: Biuro B. Numer sprawy wewnętrznej HD-0016.</p>,Nowe,low,2026-02-01,2026-03-15,False,EPIK-APPS,Zmiana,"[""Hardware""]",[],"{""Lokalizacja"": ""Biuro B"", ""Numer inwentarzowy"": ""IT-1016""}"
WI-017,Wolne łącze Wi‑Fi #17,<p>Zgłoszenie helpdesk: Wolne łącze Wi‑Fi. Lokalizacja: Biuro A. Numer sprawy wewnętrznej HD-0017.</p>,W kolejce,high,,,False,EPIK-ONBOARD,Incydent,"[""Sieć"", ""Pilne""]",[],"{""Lokalizacja"": ""Biuro A"", ""Numer inwentarzowy"": ""IT-1017"", ""Wpływ"": ""Cała firma""}"
WI-018,Konfiguracja skrzynki shared #18,<p>Zgłoszenie helpdesk: Konfiguracja skrzynki shared. Lokalizacja: Remote. Numer sprawy wewnętrznej HD-0018.</p>,W trakcie,medium,2026-02-01,,False,EPIK-NET,Zmiana,"[""Dostęp"", ""Software""]","[""network.admin@example.com""]","{""Lokalizacja"": ""Remote"", ""Numer inwentarzowy"": ""IT-1018"", ""Czas rozwiązania (h)"": 3}"
WI-019,Aktualizacja Windows #19,<p>Zgłoszenie helpdesk: Aktualizacja Windows. Lokalizacja: Biuro A. Numer sprawy wewnętrznej HD-0019.</p>,Oczekuje na usera,low,,,False,EPIK-ID,Zmiana,"[""Software""]",[],"{""Lokalizacja"": ""Biuro A"", ""Numer inwentarzowy"": ""IT-1019""}"
WI-020,Awaria switcha piętro 2 #20,<p>Zgłoszenie helpdesk: Awaria switcha piętro 2. Lokalizacja: Biuro B. Numer sprawy wewnętrznej HD-0020.</p>,Rozwiązane,urgent,2026-02-01,2026-03-15,False,EPIK-APPS,Incydent,"[""Sieć"", ""Pilne""]",[],"{""Lokalizacja"": ""Biuro B"", ""Numer inwentarzowy"": ""IT-1020"", ""Wpływ"": ""Cała firma""}"
WI-021,Laptop nie startuje #21,<p>Zgłoszenie helpdesk: Laptop nie startuje. Lokalizacja: Biuro A. Numer sprawy wewnętrznej HD-0021.</p>,Nowe,high,,,False,EPIK-ONBOARD,Incydent,"[""Hardware"", ""Pilne""]","[""helpdesk.lead@example.com""]","{""Lokalizacja"": ""Biuro A"", ""Numer inwentarzowy"": ""IT-1021"", ""Czas rozwiązania (h)"": 6, ""Wpływ"": ""Jeden użytkownik""}"
WI-022,Brak dostępu do VPN #22,<p>Zgłoszenie helpdesk: Brak dostępu do VPN. Lokalizacja: Remote. Numer sprawy wewnętrznej HD-0022.</p>,W kolejce,urgent,2026-02-01,,False,EPIK-NET,Incydent,"[""Dostęp"", ""Sieć""]",[],"{""Lokalizacja"": ""Remote"", ""Numer inwentarzowy"": ""IT-1022"", ""Wpływ"": ""Zespół""}"
WI-023,Drukarka nie drukuje #23,<p>Zgłoszenie helpdesk: Drukarka nie drukuje. Lokalizacja: Biuro B. Numer sprawy wewnętrznej HD-0023.</p>,W trakcie,medium,,,False,EPIK-ID,Incydent,"[""Drukarka"", ""Hardware""]",[],"{""Lokalizacja"": ""Biuro B"", ""Numer inwentarzowy"": ""IT-1023"", ""Wpływ"": ""Cała firma""}"
WI-024,Reset hasła AD #24,<p>Zgłoszenie helpdesk: Reset hasła AD. Lokalizacja: Biuro A. Numer sprawy wewnętrznej HD-0024.</p>,Oczekuje na usera,low,2026-02-01,2026-03-15,False,EPIK-APPS,Task,"[""Dostęp"", ""Software""]","[""onboarding@example.com"", ""helpdesk.lead@example.com""]","{""Lokalizacja"": ""Biuro A"", ""Numer inwentarzowy"": ""IT-1024"", ""Czas rozwiązania (h)"": 1}"
WI-025,Instalacja pakietu Office #25,<p>Zgłoszenie helpdesk: Instalacja pakietu Office. Lokalizacja: Biuro A. Numer sprawy wewnętrznej HD-0025.</p>,Rozwiązane,medium,,,False,EPIK-ONBOARD,Zmiana,"[""Software""]",[],"{""Lokalizacja"": ""Biuro A"", ""Numer inwentarzowy"": ""IT-1025""}"
WI-026,Nowy monitor na stanowisku #26,<p>Zgłoszenie helpdesk: Nowy monitor na stanowisku. Lokalizacja: Biuro B. Numer sprawy wewnętrznej HD-0026.</p>,Nowe,low,2026-02-01,,False,EPIK-NET,Zmiana,"[""Hardware""]",[],"{""Lokalizacja"": ""Biuro B"", ""Numer inwentarzowy"": ""IT-1026""}"
WI-027,Wolne łącze Wi‑Fi #27,<p>Zgłoszenie helpdesk: Wolne łącze Wi‑Fi. Lokalizacja: Biuro A. Numer sprawy wewnętrznej HD-0027.</p>,W kolejce,high,,,False,EPIK-ID,Incydent,"[""Sieć"", ""Pilne""]","[""nieistniejacy.user@example.com""]","{""Lokalizacja"": ""Biuro A"", ""Numer inwentarzowy"": ""IT-1027"", ""Czas rozwiązania (h)"": 4, ""Wpływ"": ""Jeden użytkownik""}"
WI-028,Konfiguracja skrzynki shared #28,<p>Zgłoszenie helpdesk: Konfiguracja skrzynki shared. Lokalizacja: Remote. Numer sprawy wewnętrznej HD-0028.</p>,W trakcie,medium,2026-02-01,2026-03-15,False,EPIK-APPS,Zmiana,"[""Dostęp"", ""Software""]",[],"{""Lokalizacja"": ""Remote"", ""Numer inwentarzowy"": ""IT-1028""}"
WI-029,Aktualizacja Windows #29,<p>Zgłoszenie helpdesk: Aktualizacja Windows. Lokalizacja: Biuro A. Numer sprawy wewnętrznej HD-0029.</p>,Oczekuje na usera,low,,,False,EPIK-ONBOARD,Zmiana,"[""Software""]",[],"{""Lokalizacja"": ""Biuro A"", ""Numer inwentarzowy"": ""IT-1029""}"
WI-030,Awaria switcha piętro 2 #30,<p>Zgłoszenie helpdesk: Awaria switcha piętro 2. Lokalizacja: Biuro B. Numer sprawy wewnętrznej HD-0030.</p>,Rozwiązane,urgent,2026-02-01,,False,EPIK-NET,Incydent,"[""Sieć"", ""Pilne""]","[""network.admin@example.com""]","{""Lokalizacja"": ""Biuro B"", ""Numer inwentarzowy"": ""IT-1030"", ""Czas rozwiązania (h)"": 7, ""Wpływ"": ""Jeden użytkownik""}"
WI-031,Laptop nie startuje #31,<p>Zgłoszenie helpdesk: Laptop nie startuje. Lokalizacja: Biuro A. Numer sprawy wewnętrznej HD-0031.</p>,Nowe,high,,,False,EPIK-ID,Incydent,"[""Hardware"", ""Pilne""]",[],"{""Lokalizacja"": ""Biuro A"", ""Numer inwentarzowy"": ""IT-1031"", ""Wpływ"": ""Zespół""}"
WI-032,Brak dostępu do VPN #32,<p>Zgłoszenie helpdesk: Brak dostępu do VPN. Lokalizacja: Remote. Numer sprawy wewnętrznej HD-0032.</p>,W kolejce,urgent,2026-02-01,2026-03-15,False,EPIK-APPS,Incydent,"[""Dostęp"", ""Sieć""]",[],"{""Lokalizacja"": ""Remote"", ""Numer inwentarzowy"": ""IT-1032"", ""Wpływ"": ""Cała firma""}"
WI-033,Drukarka nie drukuje #33,<p>Zgłoszenie helpdesk: Drukarka nie drukuje. Lokalizacja: Biuro B. Numer sprawy wewnętrznej HD-0033.</p>,W trakcie,medium,,,False,EPIK-ONBOARD,Incydent,"[""Drukarka"", ""Hardware""]","[""helpdesk.lead@example.com"", ""network.admin@example.com""]","{""Lokalizacja"": ""Biuro B"", ""Numer inwentarzowy"": ""IT-1033"", ""Czas rozwiązania (h)"": 2, ""Wpływ"": ""Jeden użytkownik""}"
WI-034,Reset hasła AD #34,<p>Zgłoszenie helpdesk: Reset hasła AD. Lokalizacja: Biuro A. Numer sprawy wewnętrznej HD-0034.</p>,Oczekuje na usera,low,2026-02-01,,False,EPIK-NET,Task,"[""Dostęp"", ""Software""]",[],"{""Lokalizacja"": ""Biuro A"", ""Numer inwentarzowy"": ""IT-1034""}"
WI-035,Instalacja pakietu Office #35,<p>Zgłoszenie helpdesk: Instalacja pakietu Office. Lokalizacja: Biuro A. Numer sprawy wewnętrznej HD-0035.</p>,Rozwiązane,medium,,,False,EPIK-ID,Zmiana,"[""Software""]",[],"{""Lokalizacja"": ""Biuro A"", ""Numer inwentarzowy"": ""IT-1035""}"
WI-036,Nowy monitor na stanowisku #36,<p>Zgłoszenie helpdesk: Nowy monitor na stanowisku. Lokalizacja: Biuro B. Numer sprawy wewnętrznej HD-0036.</p>,Nowe,low,2026-02-01,2026-03-15,False,EPIK-APPS,Zmiana,"[""Hardware""]","[""onboarding@example.com""]","{""Lokalizacja"": ""Biuro B"", ""Numer inwentarzowy"": ""IT-1036"", ""Czas rozwiązania (h)"": 5}"
WI-037,Wolne łącze Wi‑Fi #37,<p>Zgłoszenie helpdesk: Wolne łącze Wi‑Fi. Lokalizacja: Biuro A. Numer sprawy wewnętrznej HD-0037.</p>,W kolejce,high,,,False,EPIK-ONBOARD,Incydent,"[""Sieć"", ""Pilne""]",[],"{""Lokalizacja"": ""Biuro A"", ""Numer inwentarzowy"": ""IT-1037"", ""Wpływ"": ""Zespół""}"
WI-038,Konfiguracja skrzynki shared #38,<p>Zgłoszenie helpdesk: Konfiguracja skrzynki shared. Lokalizacja: Remote. Numer sprawy wewnętrznej HD-0038.</p>,W trakcie,medium,2026-02-01,,False,EPIK-NET,Zmiana,"[""Dostęp"", ""Software""]",[],"{""Lokalizacja"": ""Remote"", ""Numer inwentarzowy"": ""IT-1038""}"
WI-039,Aktualizacja Windows #39,<p>Zgłoszenie helpdesk: Aktualizacja Windows. Lokalizacja: Biuro A. Numer sprawy wewnętrznej HD-0039.</p>,Oczekuje na usera,low,,,False,EPIK-ID,Zmiana,"[""Software""]","[""nieistniejacy.user@example.com""]","{""Lokalizacja"": ""Biuro A"", ""Numer inwentarzowy"": ""IT-1039"", ""Czas rozwiązania (h)"": 8}"
WI-040,Awaria switcha piętro 2 #40,<p>Zgłoszenie helpdesk: Awaria switcha piętro 2. Lokalizacja: Biuro B. Numer sprawy wewnętrznej HD-0040.</p>,Rozwiązane,urgent,2026-02-01,2026-03-15,False,EPIK-APPS,Incydent,"[""Sieć"", ""Pilne""]",[],"{""Lokalizacja"": ""Biuro B"", ""Numer inwentarzowy"": ""IT-1040"", ""Wpływ"": ""Zespół""}"
WI-041,Laptop nie startuje #41,<p>Zgłoszenie helpdesk: Laptop nie startuje. Lokalizacja: Biuro A. Numer sprawy wewnętrznej HD-0041.</p>,Nowe,high,,,False,EPIK-ONBOARD,Incydent,"[""Hardware"", ""Pilne""]",[],"{""Lokalizacja"": ""Biuro A"", ""Numer inwentarzowy"": ""IT-1041"", ""Wpływ"": ""Cała firma""}"
WI-042,Brak dostępu do VPN #42,<p>Zgłoszenie helpdesk: Brak dostępu do VPN. Lokalizacja: Remote. Numer sprawy wewnętrznej HD-0042.</p>,W kolejce,urgent,2026-02-01,,False,EPIK-NET,Incydent,"[""Dostęp"", ""Sieć""]","[""network.admin@example.com"", ""nieistniejacy.user@example.com""]","{""Lokalizacja"": ""Remote"", ""Numer inwentarzowy"": ""IT-1042"", ""Czas rozwiązania (h)"": 3, ""Wpływ"": ""Jeden użytkownik""}"
WI-043,Drukarka nie drukuje #43,<p>Zgłoszenie helpdesk: Drukarka nie drukuje. Lokalizacja: Biuro B. Numer sprawy wewnętrznej HD-0043.</p>,W trakcie,medium,,,False,EPIK-ID,Incydent,"[""Drukarka"", ""Hardware""]",[],"{""Lokalizacja"": ""Biuro B"", ""Numer inwentarzowy"": ""IT-1043"", ""Wpływ"": ""Zespół""}"
WI-044,Reset hasła AD #44,<p>Zgłoszenie helpdesk: Reset hasła AD. Lokalizacja: Biuro A. Numer sprawy wewnętrznej HD-0044.</p>,Oczekuje na usera,low,2026-02-01,2026-03-15,False,EPIK-APPS,Task,"[""Dostęp"", ""Software""]",[],"{""Lokalizacja"": ""Biuro A"", ""Numer inwentarzowy"": ""IT-1044""}"
WI-045,Instalacja pakietu Office #45,<p>Zgłoszenie helpdesk: Instalacja pakietu Office. Lokalizacja: Biuro A. Numer sprawy wewnętrznej HD-0045.</p>,Rozwiązane,medium,,,False,EPIK-ONBOARD,Zmiana,"[""Software""]","[""helpdesk.lead@example.com""]","{""Lokalizacja"": ""Biuro A"", ""Numer inwentarzowy"": ""IT-1045"", ""Czas rozwiązania (h)"": 6}"
WI-046,Nowy monitor na stanowisku #46,<p>Zgłoszenie helpdesk: Nowy monitor na stanowisku. Lokalizacja: Biuro B. Numer sprawy wewnętrznej HD-0046.</p>,Nowe,low,2026-02-01,,False,EPIK-NET,Zmiana,"[""Hardware""]",[],"{""Lokalizacja"": ""Biuro B"", ""Numer inwentarzowy"": ""IT-1046""}"
WI-047,Wolne łącze Wi‑Fi #47,<p>Zgłoszenie helpdesk: Wolne łącze Wi‑Fi. Lokalizacja: Biuro A. Numer sprawy wewnętrznej HD-0047.</p>,W kolejce,high,,,False,EPIK-ID,Incydent,"[""Sieć"", ""Pilne""]",[],"{""Lokalizacja"": ""Biuro A"", ""Numer inwentarzowy"": ""IT-1047"", ""Wpływ"": ""Cała firma""}"
WI-048,Konfiguracja skrzynki shared #48,<p>Zgłoszenie helpdesk: Konfiguracja skrzynki shared. Lokalizacja: Remote. Numer sprawy wewnętrznej HD-0048.</p>,W trakcie,medium,2026-02-01,2026-03-15,False,EPIK-APPS,Zmiana,"[""Dostęp"", ""Software""]","[""onboarding@example.com""]","{""Lokalizacja"": ""Remote"", ""Numer inwentarzowy"": ""IT-1048"", ""Czas rozwiązania (h)"": 1}"
WI-049,Aktualizacja Windows #49,<p>Zgłoszenie helpdesk: Aktualizacja Windows. Lokalizacja: Biuro A. Numer sprawy wewnętrznej HD-0049.</p>,Oczekuje na usera,low,,,False,EPIK-ONBOARD,Zmiana,"[""Software""]",[],"{""Lokalizacja"": ""Biuro A"", ""Numer inwentarzowy"": ""IT-1049""}"
WI-050,Awaria switcha piętro 2 #50,<p>Zgłoszenie helpdesk: Awaria switcha piętro 2. Lokalizacja: Biuro B. Numer sprawy wewnętrznej HD-0050.</p>,Rozwiązane,urgent,2026-02-01,,False,EPIK-NET,Incydent,"[""Sieć"", ""Pilne""]",[],"{""Lokalizacja"": ""Biuro B"", ""Numer inwentarzowy"": ""IT-1050"", ""Wpływ"": ""Cała firma""}"
WI-051,Laptop nie startuje #51,<p>Zgłoszenie helpdesk: Laptop nie startuje. Lokalizacja: Biuro A. Numer sprawy wewnętrznej HD-0051.</p>,Nowe,high,,,False,EPIK-ID,Incydent,"[""Hardware"", ""Pilne""]","[""nieistniejacy.user@example.com"", ""onboarding@example.com""]","{""Lokalizacja"": ""Biuro A"", ""Numer inwentarzowy"": ""IT-1051"", ""Czas rozwiązania (h)"": 4, ""Wpływ"": ""Jeden użytkownik""}"
WI-052,Brak dostępu do VPN #52,<p>Zgłoszenie helpdesk: Brak dostępu do VPN. Lokalizacja: Remote. Numer sprawy wewnętrznej HD-0052.</p>,W kolejce,urgent,2026-02-01,2026-03-15,False,EPIK-APPS,Incydent,"[""Dostęp"", ""Sieć""]",[],"{""Lokalizacja"": ""Remote"", ""Numer inwentarzowy"": ""IT-1052"", ""Wpływ"": ""Zespół""}"
WI-053,Drukarka nie drukuje #53,<p>Zgłoszenie helpdesk: Drukarka nie drukuje. Lokalizacja: Biuro B. Numer sprawy wewnętrznej HD-0053.</p>,W trakcie,medium,,,False,EPIK-ONBOARD,Incydent,"[""Drukarka"", ""Hardware""]",[],"{""Lokalizacja"": ""Biuro B"", ""Numer inwentarzowy"": ""IT-1053"", ""Wpływ"": ""Cała firma""}"
WI-054,Reset hasła AD #54,<p>Zgłoszenie helpdesk: Reset hasła AD. Lokalizacja: Biuro A. Numer sprawy wewnętrznej HD-0054.</p>,Oczekuje na usera,low,2026-02-01,,False,EPIK-NET,Task,"[""Dostęp"", ""Software""]","[""network.admin@example.com""]","{""Lokalizacja"": ""Biuro A"", ""Numer inwentarzowy"": ""IT-1054"", ""Czas rozwiązania (h)"": 7}"
WI-055,Instalacja pakietu Office #55,<p>Zgłoszenie helpdesk: Instalacja pakietu Office. Lokalizacja: Biuro A. Numer sprawy wewnętrznej HD-0055.</p>,Rozwiązane,medium,,,False,EPIK-ID,Zmiana,"[""Software""]",[],"{""Lokalizacja"": ""Biuro A"", ""Numer inwentarzowy"": ""IT-1055""}"
WI-056,Nowy monitor na stanowisku #56,<p>Zgłoszenie helpdesk: Nowy monitor na stanowisku. Lokalizacja: Biuro B. Numer sprawy wewnętrznej HD-0056.</p>,Nowe,low,2026-02-01,2026-03-15,False,EPIK-APPS,Zmiana,"[""Hardware""]",[],"{""Lokalizacja"": ""Biuro B"", ""Numer inwentarzowy"": ""IT-1056""}"
WI-057,Wolne łącze Wi‑Fi #57,<p>Zgłoszenie helpdesk: Wolne łącze Wi‑Fi. Lokalizacja: Biuro A. Numer sprawy wewnętrznej HD-0057.</p>,W kolejce,high,,,False,EPIK-ONBOARD,Incydent,"[""Sieć"", ""Pilne""]","[""helpdesk.lead@example.com""]","{""Lokalizacja"": ""Biuro A"", ""Numer inwentarzowy"": ""IT-1057"", ""Czas rozwiązania (h)"": 2, ""Wpływ"": ""Jeden użytkownik""}"
WI-058,Konfiguracja skrzynki shared #58,<p>Zgłoszenie helpdesk: Konfiguracja skrzynki shared. Lokalizacja: Remote. Numer sprawy wewnętrznej HD-0058.</p>,W trakcie,medium,2026-02-01,,False,EPIK-NET,Zmiana,"[""Dostęp"", ""Software""]",[],"{""Lokalizacja"": ""Remote"", ""Numer inwentarzowy"": ""IT-1058""}"
WI-059,Aktualizacja Windows #59,<p>Zgłoszenie helpdesk: Aktualizacja Windows. Lokalizacja: Biuro A. Numer sprawy wewnętrznej HD-0059.</p>,Oczekuje na usera,low,,,False,EPIK-ID,Zmiana,"[""Software""]",[],"{""Lokalizacja"": ""Biuro A"", ""Numer inwentarzowy"": ""IT-1059""}"
WI-060,Awaria switcha piętro 2 #60,<p>Zgłoszenie helpdesk: Awaria switcha piętro 2. Lokalizacja: Biuro B. Numer sprawy wewnętrznej HD-0060.</p>,Rozwiązane,urgent,2026-02-01,2026-03-15,False,EPIK-APPS,Incydent,"[""Sieć"", ""Pilne""]","[""onboarding@example.com"", ""helpdesk.lead@example.com""]","{""Lokalizacja"": ""Biuro B"", ""Numer inwentarzowy"": ""IT-1060"", ""Czas rozwiązania (h)"": 5, ""Wpływ"": ""Jeden użytkownik""}"
WI-061,Laptop nie startuje #61,<p>Zgłoszenie helpdesk: Laptop nie startuje. Lokalizacja: Biuro A. Numer sprawy wewnętrznej HD-0061.</p>,Nowe,high,,,False,EPIK-ONBOARD,Incydent,"[""Hardware"", ""Pilne""]",[],"{""Lokalizacja"": ""Biuro A"", ""Numer inwentarzowy"": ""IT-1061"", ""Wpływ"": ""Zespół""}"
WI-062,Brak dostępu do VPN #62,<p>Zgłoszenie helpdesk: Brak dostępu do VPN. Lokalizacja: Remote. Numer sprawy wewnętrznej HD-0062.</p>,W kolejce,urgent,2026-02-01,,False,EPIK-NET,Incydent,"[""Dostęp"", ""Sieć""]",[],"{""Lokalizacja"": ""Remote"", ""Numer inwentarzowy"": ""IT-1062"", ""Wpływ"": ""Cała firma""}"
WI-063,Drukarka nie drukuje #63,<p>Zgłoszenie helpdesk: Drukarka nie drukuje. Lokalizacja: Biuro B. Numer sprawy wewnętrznej HD-0063.</p>,W trakcie,medium,,,False,EPIK-ID,Incydent,"[""Drukarka"", ""Hardware""]","[""nieistniejacy.user@example.com""]","{""Lokalizacja"": ""Biuro B"", ""Numer inwentarzowy"": ""IT-1063"", ""Czas rozwiązania (h)"": 8, ""Wpływ"": ""Jeden użytkownik""}"
WI-064,Reset hasła AD #64,<p>Zgłoszenie helpdesk: Reset hasła AD. Lokalizacja: Biuro A. Numer sprawy wewnętrznej HD-0064.</p>,Oczekuje na usera,low,2026-02-01,2026-03-15,False,EPIK-APPS,Task,"[""Dostęp"", ""Software""]",[],"{""Lokalizacja"": ""Biuro A"", ""Numer inwentarzowy"": ""IT-1064""}"
WI-065,Instalacja pakietu Office #65,<p>Zgłoszenie helpdesk: Instalacja pakietu Office. Lokalizacja: Biuro A. Numer sprawy wewnętrznej HD-0065.</p>,Rozwiązane,medium,,,False,EPIK-ONBOARD,Zmiana,"[""Software""]",[],"{""Lokalizacja"": ""Biuro A"", ""Numer inwentarzowy"": ""IT-1065""}"
