row_type,Name,Identifier,Description,Start Date,Target Date,Network,Cycle View,Module View,Issue Views View,Page View,Intake View,Is Time Tracking Enabled,Is Issue Type Enabled,Guest View All Features,Epic Enabled,State Templates,Label Templates,Task Custom Properties,External Key,Description Html,State,Priority,Is Draft,Parent External Key,Issue Type,Labels,Assignee Emails,Custom Properties
work_item,Szkolenie z procedury CCP #10,,,2026-02-15,,,,,,,,,,,,,,,QA-010,<p>Zadanie laboratorium: Szkolenie z procedury CCP. Numer próby LAB-2026-0010. Linia produkcyjna 2.</p>,Wynik OK,urgent,False,,,"[""Mikrobiologia""]",[],"{""Numer próby"": ""LAB-2026-0010"", ""Wynik"": ""Negatywny""}"
work_item,Badanie liczby bakterii w mleku surowym #11,,,,,,,,,,,,,,,,,,QA-011,<p>Zadanie laboratorium: Badanie liczby bakterii w mleku surowym. Numer próby LAB-2026-0011. Linia produkcyjna 3.</p>,Niezgodność,high,False,,,"[""Chemia""]","[""nieistniejacy.rolnik@example.com""]","{""Numer próby"": ""LAB-2026-0011"", ""Wynik"": ""Do powtórzenia""}"
work_item,Oznaczenie tłuszczu w partii #12,,,2026-02-15,2026-08-31,,,,,,,,,,,,,,QA-012,<p>Zadanie laboratorium: Oznaczenie tłuszczu w partii. Numer próby LAB-2026-0012. Linia produkcyjna 1.</p>,Do badania,medium,False,,,"[""Audyt""]","[""lab@example.com""]","{""Numer próby"": ""LAB-2026-0012"", ""Wynik"": ""Pozytywny""}"
work_item,Test antybiotyków — próbka zbiorcza #13,,,,,,,,,,,,,,,,,,QA-013,<p>Zadanie laboratorium: Test antybiotyków — próbka zbiorcza. Numer próby LAB-2026-0013. Linia produkcyjna 2.</p>,W labie,low,False,,,"[""HACCP""]",[],"{""Numer próby"": ""LAB-2026-0013"", ""Wynik"": ""Negatywny""}"
work_item,Audyt dokumentacji HACCP #14,,,2026-02-15,,,,,,,,,,,,,,,QA-014,<p>Zadanie laboratorium: Audyt dokumentacji HACCP. Numer próby LAB-2026-0014. Linia produkcyjna 3.</p>,Wynik OK,none,False,,,"[""Mikrobiologia""]",[],"{""Numer próby"": ""LAB-2026-0014"", ""Wynik"": ""Do powtórzenia""}"
work_item,Kontrola pH jogurtu naturalnego #15,,,,2026-08-31,,,,,,,,,,,,,,QA-015,<p>Zadanie laboratorium: Kontrola pH jogurtu naturalnego. Numer próby LAB-2026-0015. Linia produkcyjna 1.</p>,Niezgodność,urgent,False,,,"[""Chemia""]",[],"{""Numer próby"": ""LAB-2026-0015"", ""Wynik"": ""Pozytywny""}"
work_item,Powtórne badanie po niezgodności #16,,,2026-02-15,,,,,,,,,,,,,,,QA-016,<p>Zadanie laboratorium: Powtórne badanie po niezgodności. Numer próby LAB-2026-0016. Linia produkcyjna 2.</p>,Do badania,high,False,,,"[""Audyt""]","[""lab@example.com""]","{""Numer próby"": ""LAB-2026-0016"", ""Wynik"": ""Negatywny""}"
work_item,Walidacja metody mikrobiologicznej #17,,,,,,,,,,,,,,,,,,QA-017,<p>Zadanie laboratorium: Walidacja metody mikrobiologicznej. Numer próby LAB-2026-0017. Linia produkcyjna 3.</p>,W labie,medium,False,,,"[""HACCP""]",[],"{""Numer próby"": ""LAB-2026-0017"", ""Wynik"": ""Do powtórzenia""}"
work_item,Pobór próby z linii UHT #18,,,2026-02-15,2026-08-31,,,,,,,,,,,,,,QA-018,<p>Zadanie laboratorium: Pobór próby z linii UHT. Numer próby LAB-2026-0018. Linia produkcyjna 1.</p>,Wynik OK,low,False,,,"[""Mikrobiologia""]",[],"{""Numer próby"": ""LAB-2026-0018"", ""Wynik"": ""Pozytywny""}"
work_item,Analiza pozostałości pestycydów #19,,,,,,,,,,,,,,,,,,QA-019,<p>Zadanie laboratorium: Analiza pozostałości pestycydów. Numer próby LAB-2026-0019. Linia produkcyjna 2.</p>,Niezgodność,none,False,,,"[""Chemia""]",[],"{""Numer próby"": ""LAB-2026-0019"", ""Wynik"": ""Negatywny""}"
work_item,Szkolenie z procedury CCP #20,,,2026-02-15,,,,,,,,,,,,,,,QA-020,<p>Zadanie laboratorium: Szkolenie z procedury CCP. Numer próby LAB-2026-0020. Linia produkcyjna 3.</p>,Do badania,urgent,False,,,"[""Audyt""]","[""lab@example.com""]","{""Numer próby"": ""LAB-2026-0020"", ""Wynik"": ""Do powtórzenia""}"
work_item,Badanie liczby bakterii w mleku surowym #21,,,,2026-08-31,,,,,,,,,,,,,,QA-021,<p>Zadanie laboratorium: Badanie liczby bakterii w mleku surowym. Numer próby LAB-2026-0021. Linia produkcyjna 1.</p>,W labie,high,False,,,"[""HACCP""]",[],"{""Numer próby"": ""LAB-2026-0021"", ""Wynik"": ""Pozytywny""}"
work_item,Oznaczenie tłuszczu w partii #22,,,2026-02-15,,,,,,,,,,,,,,,QA-022,<p>Zadanie laboratorium: Oznaczenie tłuszczu w partii. Numer próby LAB-2026-0022. Linia produkcyjna 2.</p>,Wynik OK,medium,False,,,"[""Mikrobiologia""]","[""nieistniejacy.rolnik@example.com""]","{""Numer próby"": ""LAB-2026-0022"", ""Wynik"": ""Negatywny""}"
work_item,Test antybiotyków — próbka zbiorcza #23,,,,,,,,,,,,,,,,,,QA-023,<p>Zadanie laboratorium: Test antybiotyków — próbka zbiorcza. Numer próby LAB-2026-0023. Linia produkcyjna 3.</p>,Niezgodność,low,False,,,"[""Chemia""]",[],"{""Numer próby"": ""LAB-2026-0023"", ""Wynik"": ""Do powtórzenia""}"
work_item,Audyt dokumentacji HACCP #24,,,2026-02-15,2026-08-31,,,,,,,,,,,,,,QA-024,<p>Zadanie laboratorium: Audyt dokumentacji HACCP. Numer próby LAB-2026-0024. Linia produkcyjna 1.</p>,Do badania,none,False,,,"[""Audyt""]","[""lab@example.com""]","{""Numer próby"": ""LAB-2026-0024"", ""Wynik"": ""Pozytywny""}"
work_item,Kontrola pH jogurtu naturalnego #25,,,,,,,,,,,,,,,,,,QA-025,<p>Zadanie laboratorium: Kontrola pH jogurtu naturalnego. Numer próby LAB-2026-0025. Linia produkcyjna 2.</p>,W labie,urgent,False,,,"[""HACCP""]",[],"{""Numer próby"": ""LAB-2026-0025"", ""Wynik"": ""Negatywny""}"
work_item,Powtórne badanie po niezgodności #26,,,2026-02-15,,,,,,,,,,,,,,,QA-026,<p>Zadanie laboratorium: Powtórne badanie po niezgodności. Numer próby LAB-2026-0026. Linia produkcyjna 3.</p>,Wynik OK,high,False,,,"[""Mikrobiologia""]",[],"{""Numer próby"": ""LAB-2026-0026"", ""Wynik"": ""Do powtórzenia""}"
work_item,Walidacja metody mikrobiologicznej #27,,,,2026-08-31,,,,,,,,,,,,,,QA-027,<p>Zadanie laboratorium: Walidacja metody mikrobiologicznej. Numer próby LAB-2026-0027. Linia produkcyjna 1.</p>,Niezgodność,medium,False,,,"[""Chemia""]",[],"{""Numer próby"": ""LAB-2026-0027"", ""Wynik"": ""Pozytywny""}"
work_item,Pobór próby z linii UHT #28,,,2026-02-15,,,,,,,,,,,,,,,QA-028,<p>Zadanie laboratorium: Pobór próby z linii UHT. Numer próby LAB-2026-0028. Linia produkcyjna 2.</p>,Do badania,low,False,,,"[""Audyt""]","[""lab@example.com""]","{""Numer próby"": ""LAB-2026-0028"", ""Wynik"": ""Negatywny""}"
work_item,Analiza pozostałości pestycydów #29,,,,,,,,,,,,,,,,,,QA-029,<p>Zadanie laboratorium: Analiza pozostałości pestycydów. Numer próby LAB-2026-0029. Linia produkcyjna 3.</p>,W labie,none,False,,,"[""HACCP""]",[],"{""Numer próby"": ""LAB-2026-0029"", ""Wynik"": ""Do powtórzenia""}"
work_item,Szkolenie z procedury CCP #30,,,2026-02-15,2026-08-31,,,,,,,,,,,,,,QA-030,<p>Zadanie laboratorium: Szkolenie z procedury CCP. Numer próby LAB-2026-0030. Linia produkcyjna 1.</p>,Wynik OK,urgent,False,,,"[""Mikrobiologia""]",[],"{""Numer próby"": ""LAB-2026-0030"", ""Wynik"": ""Pozytywny""}"
work_item,Badanie liczby bakterii w mleku surowym #31,,,,,,,,,,,,,,,,,,QA-031,<p>Zadanie laboratorium: Badanie liczby bakterii w mleku surowym. Numer próby LAB-2026-0031. Linia produkcyjna 2.</p>,Niezgodność,high,False,,,"[""Chemia""]",[],"{""Numer próby"": ""LAB-2026-0031"", ""Wynik"": ""Negatywny""}"
work_item,Oznaczenie tłuszczu w partii #32,,,2026-02-15,,,,,,,,,,,,,,,QA-032,<p>Zadanie laboratorium: Oznaczenie tłuszczu w partii. Numer próby LAB-2026-0032. Linia produkcyjna 3.</p>,Do badania,medium,False,,,"[""Audyt""]","[""lab@example.com""]","{""Numer próby"": ""LAB-2026-0032"", ""Wynik"": ""Do powtórzenia""}"
work_item,Test antybiotyków — próbka zbiorcza #33,,,,2026-08-31,,,,,,,,,,,,,,QA-033,<p>Zadanie laboratorium: Test antybiotyków — próbka zbiorcza. Numer próby LAB-2026-0033. Linia produkcyjna 1.</p>,W labie,low,False,,,"[""HACCP""]","[""nieistniejacy.rolnik@example.com""]","{""Numer próby"": ""LAB-2026-0033"", ""Wynik"": ""Pozytywny""}"
work_item,Audyt dokumentacji HACCP #34,,,2026-02-15,,,,,,,,,,,,,,,QA-034,<p>Zadanie laboratorium: Audyt dokumentacji HACCP. Numer próby LAB-2026-0034. Linia produkcyjna 2.</p>,Wynik OK,none,False,,,"[""Mikrobiologia""]",[],"{""Numer próby"": ""LAB-2026-0034"", ""Wynik"": ""Negatywny""}"
work_item,Kontrola pH jogurtu naturalnego #35,,,,,,,,,,,,,,,,,,QA-035,<p>Zadanie laboratorium: Kontrola pH jogurtu naturalnego. Numer próby LAB-2026-0035. Linia produkcyjna 3.</p>,Niezgodność,urgent,False,,,"[""Chemia""]",[],"{""Numer próby"": ""LAB-2026-0035"", ""Wynik"": ""Do powtórzenia""}"
work_item,Powtórne badanie po niezgodności #36,,,2026-02-15,2026-08-31,,,,,,,,,,,,,,QA-036,<p>Zadanie laboratorium: Powtórne badanie po niezgodności. Numer próby LAB-2026-0036. Linia produkcyjna 1.</p>,Do badania,high,False,,,"[""Audyt""]","[""lab@example.com""]","{""Numer próby"": ""LAB-2026-0036"", ""Wynik"": ""Pozytywny""}"
work_item,Walidacja metody mikrobiologicznej #37,,,,,,,,,,,,,,,,,,QA-037,<p>Zadanie laboratorium: Walidacja metody mikrobiologicznej. Numer próby LAB-2026-0037. Linia produkcyjna 2.</p>,W labie,medium,False,,,"[""HACCP""]",[],"{""Numer próby"": ""LAB-2026-0037"", ""Wynik"": ""Negatywny""}"
work_item,Pobór próby z linii UHT #38,,,2026-02-15,,,,,,,,,,,,,,,QA-038,<p>Zadanie laboratorium: Pobór próby z linii UHT. Numer próby LAB-2026-0038. Linia produkcyjna 3.</p>,Wynik OK,low,False,,,"[""Mikrobiologia""]",[],"{""Numer próby"": ""LAB-2026-0038"", ""Wynik"": ""Do powtórzenia""}"
work_item,Analiza pozostałości pestycydów #39,,,,2026-08-31,,,,,,,,,,,,,,QA-039,<p>Zadanie laboratorium: Analiza pozostałości pestycydów. Numer próby LAB-2026-0039. Linia produkcyjna 1.</p>,Niezgodność,none,False,,,"[""Chemia""]",[],"{""Numer próby"": ""LAB-2026-0039"", ""Wynik"": ""Pozytywny""}"
work_item,Szkolenie z procedury CCP #40,,,2026-02-15,,,,,,,,,,,,,,,QA-040,<p>Zadanie laboratorium: Szkolenie z procedury CCP. Numer próby LAB-2026-0040. Linia produkcyjna 2.</p>,Do badania,urgent,False,,,"[""Audyt""]","[""lab@example.com""]","{""Numer próby"": ""LAB-2026-0040"", ""Wynik"": ""Negatywny""}"
work_item,Badanie liczby bakterii w mleku surowym #41,,,,,,,,,,,,,,,,,,QA-041,<p>Zadanie laboratorium: Badanie liczby bakterii w mleku surowym. Numer próby LAB-2026-0041. Linia produkcyjna 3.</p>,W labie,high,False,,,"[""HACCP""]",[],"{""Numer próby"": ""LAB-2026-0041"", ""Wynik"": ""Do powtórzenia""}"
work_item,Oznaczenie tłuszczu w partii #42,,,2026-02-15,2026-08-31,,,,,,,,,,,,,,QA-042,<p>Zadanie laboratorium: Oznaczenie tłuszczu w partii. Numer próby LAB-2026-0042. Linia produkcyjna 1.</p>,Wynik OK,medium,False,,,"[""Mikrobiologia""]",[],"{""Numer próby"": ""LAB-2026-0042"", ""Wynik"": ""Pozytywny""}"
work_item,Test antybiotyków — próbka zbiorcza #43,,,,,,,,,,,,,,,,,,QA-043,<p>Zadanie laboratorium: Test antybiotyków — próbka zbiorcza. Numer próby LAB-2026-0043. Linia produkcyjna 2.</p>,Niezgodność,low,False,,,"[""Chemia""]",[],"{""Numer próby"": ""LAB-2026-0043"", ""Wynik"": ""Negatywny""}"
work_item,Audyt dokumentacji HACCP #44,,,2026-02-15,,,,,,,,,,,,,,,QA-044,<p>Zadanie laboratorium: Audyt dokumentacji HACCP. Numer próby LAB-2026-0044. Linia produkcyjna 3.</p>,Do badania,none,False,,,"[""Audyt""]","[""lab@example.com"", ""nieistniejacy.rolnik@example.com""]","{""Numer próby"": ""LAB-2026-0044"", ""Wynik"": ""Do powtórzenia""}"
work_item,Kontrola pH jogurtu naturalnego #45,,,,2026-08-31,,,,,,,,,,,,,,QA-045,<p>Zadanie laboratorium: Kontrola pH jogurtu naturalnego. Numer próby LAB-2026-0045. Linia produkcyjna 1.</p>,W labie,urgent,False,,,"[""HACCP""]",[],"{""Numer próby"": ""LAB-2026-0045"", ""Wynik"": ""Pozytywny""}"
work_item,Powtórne badanie po niezgodności #46,,,2026-02-15,,,,,,,,,,,,,,,QA-046,<p>Zadanie laboratorium: Powtórne badanie po niezgodności. Numer próby LAB-2026-0046. Linia produkcyjna 2.</p>,Wynik OK,high,False,,,"[""Mikrobiologia""]",[],"{""Numer próby"": ""LAB-2026-0046"", ""Wynik"": ""Negatywny""}"
work_item,Walidacja metody mikrobiologicznej #47,,,,,,,,,,,,,,,,,,QA-047,<p>Zadanie laboratorium: Walidacja metody mikrobiologicznej. Numer próby LAB-2026-0047. Linia produkcyjna 3.</p>,Niezgodność,medium,False,,,"[""Chemia""]",[],"{""Numer próby"": ""LAB-2026-0047"", ""Wynik"": ""Do powtórzenia""}"
work_item,Pobór próby z linii UHT #48,,,2026-02-15,2026-08-31,,,,,,,,,,,,,,QA-048,<p>Zadanie laboratorium: Pobór próby z linii UHT. Numer próby LAB-2026-0048. Linia produkcyjna 1.</p>,Do badania,low,False,,,"[""Audyt""]","[""lab@example.com""]","{""Numer próby"": ""LAB-2026-0048"", ""Wynik"": ""Pozytywny""}"
work_item,Analiza pozostałości pestycydów #49,,,,,,,,,,,,,,,,,,QA-049,<p>Zadanie laboratorium: Analiza pozostałości pestycydów. Numer próby LAB-2026-0049. Linia produkcyjna 2.</p>,W labie,none,False,,,"[""HACCP""]",[],"{""Numer próby"": ""LAB-2026-0049"", ""Wynik"": ""Negatywny""}"
work_item,Szkolenie z procedury CCP #50,,,2026-02-15,,,,,,,,,,,,,,,QA-050,<p>Zadanie laboratorium: Szkolenie z procedury CCP. Numer próby LAB-2026-0050. Linia produkcyjna 3.</p>,Wynik OK,urgent,False,,,"[""Mikrobiologia""]",[],"{""Numer próby"": ""LAB-2026-0050"", ""Wynik"": ""Do powtórzenia""}"
